time,ax,ay,az,wx,wy,wz,
0.001,-0.99,0.34,0.16,-0.54,-0.79,-0.04,
0.002,-0.99,0.34,0.16,-0.55,-0.82,-0.02,
0.002,-0.99,0.34,0.16,-0.56,-0.84,-0.01,
0.003,-0.85,0.37,0.13,-0.56,-0.84,-0.01,
0.003,-0.85,0.37,0.13,-0.57,-0.85,0.01,
0.004,-0.85,0.37,0.13,-0.57,-0.84,0.02,
0.004,-0.58,0.31,0.09,-0.57,-0.84,0.02,
0.005,-0.58,0.31,0.09,-0.57,-0.84,0.03,
0.006,-0.58,0.31,0.09,-0.57,-0.83,0.04,
0.013,-0.58,0.31,0.09,-0.57,-0.83,0.05,
0.013,-0.26,0.07,0.36,-0.57,-0.83,0.05,
0.013,-0.26,0.07,0.36,-0.57,-0.82,0.06,
0.014,-0.27,0.28,0.15,-0.57,-0.82,0.06,
0.014,-0.27,0.28,0.15,-0.58,-0.80,0.07,
0.019,-0.27,0.28,0.15,-0.60,-0.77,0.07,
0.02,-0.16,0.45,-0.60,-0.60,-0.77,0.07,
0.02,-0.16,0.45,-0.60,-0.61,-0.73,0.08,
0.02,-0.16,0.45,-0.60,-0.63,-0.71,0.09,
0.024,-0.22,0.57,-0.49,-0.63,-0.71,0.09,
0.025,-0.22,0.57,-0.49,-0.65,-0.70,0.11,
0.026,-0.22,0.57,-0.49,-0.66,-0.71,0.12,
0.029,-0.54,0.75,0.06,-0.66,-0.71,0.12,
0.03,-0.54,0.75,0.06,-0.67,-0.73,0.16,
0.03,-0.54,0.75,0.06,-0.71,-0.75,0.19,
0.034,-0.66,0.97,0.09,-0.71,-0.75,0.19,
0.035,-0.66,0.97,0.09,-0.76,-0.80,0.22,
0.036,-0.66,0.97,0.09,-0.80,-0.91,0.25,
0.038,-1.00,1.12,1.21,-0.80,-0.91,0.25,
0.038,-1.00,1.12,1.21,-0.83,-1.06,0.29,
0.04,-1.00,1.12,1.21,-0.84,-1.20,0.35,
0.044,-1.47,1.03,1.13,-0.84,-1.20,0.35,
0.044,-1.47,1.03,1.13,-0.85,-1.31,0.40,
0.046,-1.47,1.03,1.13,-0.87,-1.37,0.44,
0.049,-1.17,0.79,0.31,-0.87,-1.37,0.44,
0.05,-1.17,0.79,0.31,-0.89,-1.42,0.46,
0.051,-1.17,0.79,0.31,-0.92,-1.45,0.47,
0.053,-0.72,0.72,0.01,-0.92,-1.45,0.47,
0.054,-0.72,0.72,0.01,-0.94,-1.49,0.47,
0.056,-0.72,0.72,0.01,-0.96,-1.51,0.46,
0.059,-0.51,0.67,0.05,-0.96,-1.51,0.46,
0.06,-0.51,0.67,0.05,-0.96,-1.53,0.45,
0.06,-0.51,0.67,0.05,-0.96,-1.55,0.44,
