time,ax,ay,az,wx,wy,wz,
0.002,-0.42,0.27,0.62,-0.07,-0.34,-0.02,
0.002,-0.46,0.33,0.74,-0.07,-0.34,-0.02,
0.003,-0.46,0.33,0.74,-0.08,-0.40,-0.01,
0.003,-0.46,0.33,0.74,-0.09,-0.46,0.00,
0.003,-0.46,0.36,0.64,-0.09,-0.46,0.00,
0.003,-0.46,0.36,0.64,-0.11,-0.51,0.01,
0.004,-0.46,0.36,0.64,-0.12,-0.54,0.02,
0.004,-0.48,0.38,0.43,-0.12,-0.54,0.02,
0.004,-0.48,0.38,0.43,-0.13,-0.57,0.03,
0.011,-0.48,0.38,0.43,-0.14,-0.60,0.04,
0.011,-0.53,0.37,0.22,-0.14,-0.60,0.04,
0.011,-0.53,0.37,0.22,-0.16,-0.62,0.05,
0.012,-0.53,0.37,0.22,-0.17,-0.63,0.06,
0.015,-0.57,0.37,0.11,-0.17,-0.63,0.06,
0.015,-0.57,0.37,0.11,-0.18,-0.64,0.07,
0.03,-0.57,0.37,0.11,-0.19,-0.65,0.08,
0.031,-0.54,0.33,0.07,-0.19,-0.65,0.08,
0.031,-0.54,0.33,0.07,-0.20,-0.66,0.09,
0.031,-0.54,0.33,0.07,-0.21,-0.67,0.10,
0.032,-0.46,0.24,0.01,-0.21,-0.67,0.10,
0.032,-0.46,0.24,0.01,-0.22,-0.67,0.11,
0.032,-0.46,0.24,0.01,-0.23,-0.68,0.11,
0.033,-0.35,0.16,-0.13,-0.23,-0.68,0.11,
0.033,-0.35,0.16,-0.13,-0.24,-0.68,0.12,
0.033,-0.35,0.16,-0.13,-0.25,-0.67,0.12,
0.045,-0.22,0.11,-0.25,-0.25,-0.67,0.12,
0.046,-0.22,0.11,-0.25,-0.26,-0.67,0.13,
0.047,-0.22,0.11,-0.25,-0.27,-0.66,0.13,
0.047,-0.12,0.07,-0.36,-0.27,-0.66,0.13,
0.047,-0.12,0.07,-0.36,-0.27,-0.65,0.13,
0.048,-0.12,0.07,-0.36,-0.28,-0.65,0.13,
0.048,-0.05,0.03,-0.42,-0.28,-0.65,0.13,
0.049,-0.05,0.03,-0.42,-0.29,-0.64,0.13,
0.049,-0.05,0.03,-0.42,-0.29,-0.63,0.13,
0.05,0.01,0.01,-0.42,-0.29,-0.63,0.13,
0.05,0.01,0.01,-0.42,-0.30,-0.62,0.12,
0.058,0.01,0.01,-0.42,-0.30,-0.61,0.12,
0.058,0.03,0.07,-0.47,-0.30,-0.61,0.12,
0.059,0.03,0.07,-0.47,-0.31,-0.60,0.12,
0.059,0.03,0.07,-0.47,-0.31,-0.59,0.12,
0.06,0.03,0.07,-0.47,-0.32,-0.58,0.11,
0.06,-0.09,0.17,-0.53,-0.32,-0.58,0.11,
