time,ax,ay,az,wx,wy,wz,
0.001,-1.31,0.65,-1.04,0.02,-1.05,0.29,
0.002,-1.31,0.65,-1.04,-0.03,-1.09,0.32,
0.003,-1.31,0.65,-1.04,-0.06,-1.12,0.34,
0.003,-1.31,0.66,-0.99,-0.06,-1.12,0.34,
0.003,-1.31,0.66,-0.99,-0.10,-1.15,0.36,
0.004,-1.31,0.66,-0.99,-0.13,-1.17,0.38,
0.013,-1.35,0.71,-0.84,-0.13,-1.17,0.38,
0.013,-1.35,0.71,-0.84,-0.15,-1.18,0.39,
0.014,-1.35,0.71,-0.84,-0.18,-1.19,0.41,
0.014,-1.51,0.95,-0.64,-0.18,-1.19,0.41,
0.015,-1.51,0.95,-0.64,-0.19,-1.19,0.44,
0.015,-1.51,0.95,-0.64,-0.21,-1.19,0.48,
0.016,-2.05,1.70,-0.42,-0.21,-1.19,0.48,
0.016,-2.05,1.70,-0.42,-0.22,-1.18,0.52,
0.019,-2.05,1.70,-0.42,-0.23,-1.17,0.56,
0.029,-2.13,1.64,-0.17,-0.23,-1.17,0.56,
0.03,-2.13,1.64,-0.17,-0.24,-1.16,0.60,
0.03,-2.13,1.64,-0.17,-0.25,-1.16,0.63,
0.031,-2.02,1.51,0.08,-0.25,-1.16,0.63,
0.031,-2.02,1.51,0.08,-0.26,-1.16,0.66,
0.031,-2.02,1.51,0.08,-0.27,-1.16,0.69,
0.032,-1.85,1.41,0.37,-0.27,-1.16,0.69,
0.032,-1.85,1.41,0.37,-0.28,-1.18,0.72,
0.033,-1.85,1.41,0.37,-0.28,-1.21,0.75,
0.038,-1.61,1.33,0.88,-0.28,-1.21,0.75,
0.038,-1.61,1.33,0.88,-0.27,-1.26,0.78,
0.041,-1.61,1.33,0.88,-0.27,-1.30,0.80,
0.042,-1.60,1.01,0.71,-0.27,-1.30,0.80,
0.043,-1.60,1.01,0.71,-0.28,-1.32,0.82,
0.043,-1.60,1.01,0.71,-0.28,-1.33,0.84,
0.047,-1.53,0.75,0.42,-0.28,-1.33,0.84,
0.048,-1.53,0.75,0.42,-0.29,-1.35,0.86,
0.048,-1.53,0.75,0.42,-0.30,-1.36,0.88,
0.052,-1.24,0.58,0.18,-0.30,-1.36,0.88,
0.052,-1.24,0.58,0.18,-0.31,-1.37,0.89,
0.056,-1.24,0.58,0.18,-0.32,-1.38,0.91,
0.058,-0.90,0.40,-0.27,-0.32,-1.38,0.91,
0.059,-0.90,0.40,-0.27,-0.33,-1.39,0.92,
0.059,-0.90,0.40,-0.27,-0.35,-1.39,0.93,
