time,ax,ay,az,wx,wy,wz,
0.002,-0.94,0.41,-1.32,-0.35,-1.01,0.18,
0.003,-0.94,0.41,-1.32,-0.40,-1.04,0.19,
0.003,-0.99,0.54,-1.42,-0.40,-1.04,0.19,
0.004,-0.99,0.54,-1.42,-0.46,-1.06,0.20,
0.006,-0.99,0.54,-1.42,-0.52,-1.08,0.22,
0.006,-0.99,0.54,-1.42,-0.57,-1.09,0.23,
0.006,-0.99,0.55,-1.40,-0.57,-1.09,0.23,
0.006,-0.99,0.55,-1.40,-0.62,-1.11,0.24,
0.007,-0.99,0.55,-1.40,-0.68,-1.11,0.25,
0.007,-0.95,0.54,-1.22,-0.68,-1.11,0.25,
0.007,-0.95,0.54,-1.22,-0.73,-1.12,0.26,
0.007,-0.95,0.54,-1.22,-0.77,-1.13,0.27,
0.012,-0.89,0.49,-0.97,-0.77,-1.13,0.27,
0.012,-0.89,0.49,-0.97,-0.81,-1.14,0.27,
0.012,-0.89,0.49,-0.97,-0.85,-1.14,0.29,
0.016,-0.82,0.36,-0.69,-0.85,-1.14,0.29,
0.017,-0.82,0.36,-0.69,-0.89,-1.15,0.29,
0.017,-0.82,0.36,-0.69,-0.92,-1.15,0.29,
0.021,-0.73,0.17,-0.40,-0.92,-1.15,0.29,
0.021,-0.73,0.17,-0.40,-0.94,-1.16,0.30,
0.022,-0.73,0.17,-0.40,-0.97,-1.16,0.30,
0.025,-0.60,-0.14,-0.25,-0.97,-1.16,0.30,
0.027,-0.60,-0.14,-0.25,-0.99,-1.14,0.30,
0.028,-0.60,-0.14,-0.25,-1.01,-1.12,0.29,
0.043,-0.60,-0.14,-0.25,-1.03,-1.07,0.29,
0.044,-0.60,-0.14,-0.25,-1.05,-1.00,0.28,
0.044,-0.60,-0.14,-0.25,-1.08,-0.92,0.27,
0.045,-0.47,-0.71,-0.59,-1.08,-0.92,0.27,
0.045,-0.23,-0.09,-1.29,-1.08,-0.92,0.27,
0.045,-0.23,-0.09,-1.29,-1.11,-0.83,0.25,
0.045,0.08,0.07,-1.48,-1.11,-0.83,0.25,
0.046,0.08,0.07,-1.48,-1.14,-0.75,0.23,
