time,ax,ay,az,wx,wy,wz,
0.001,-1.45,0.17,-1.85,-0.37,-0.73,0.12,
0.002,-1.56,0.41,-1.04,-0.37,-0.73,0.12,
0.002,-1.56,0.41,-1.04,-0.43,-0.80,0.15,
0.003,-1.56,0.41,-1.04,-0.49,-0.87,0.18,
0.003,-1.55,0.55,-0.28,-0.49,-0.87,0.18,
0.004,-1.55,0.55,-0.28,-0.54,-0.95,0.22,
0.004,-1.55,0.55,-0.28,-0.59,-1.01,0.24,
0.009,-1.39,0.65,-0.06,-0.59,-1.01,0.24,
0.01,-1.39,0.65,-0.06,-0.63,-1.06,0.27,
0.01,-1.39,0.65,-0.06,-0.67,-1.10,0.29,
0.011,-1.23,0.77,-0.22,-0.67,-1.10,0.29,
0.011,-1.23,0.77,-0.22,-0.70,-1.12,0.31,
0.014,-1.23,0.77,-0.22,-0.74,-1.14,0.32,
0.016,-1.10,0.86,-0.47,-0.74,-1.14,0.32,
0.017,-1.10,0.86,-0.47,-0.77,-1.14,0.34,
0.03,-1.10,0.86,-0.47,-0.80,-1.14,0.36,
0.03,-1.11,0.97,-0.59,-0.80,-1.14,0.36,
0.031,-1.11,0.97,-0.59,-0.83,-1.14,0.37,
0.031,-1.11,0.97,-0.59,-0.86,-1.11,0.39,
0.031,-0.95,1.06,-0.68,-0.86,-1.11,0.39,
0.032,-0.95,1.06,-0.68,-0.88,-1.10,0.40,
0.032,-0.95,1.06,-0.68,-0.90,-1.08,0.41,
0.033,-0.82,1.15,-0.37,-0.90,-1.08,0.41,
0.033,-0.82,1.15,-0.37,-0.92,-1.07,0.42,
0.034,-0.82,1.15,-0.37,-0.93,-1.07,0.42,
0.038,-0.70,1.20,0.13,-0.93,-1.07,0.42,
0.039,-0.70,1.20,0.13,-0.94,-1.07,0.42,
0.04,-0.70,1.20,0.13,-0.94,-1.08,0.42,
0.041,-0.66,1.15,0.82,-0.94,-1.08,0.42,
0.042,-0.66,1.15,0.82,-0.94,-1.10,0.41,
0.044,-0.66,1.15,0.82,-0.93,-1.13,0.41,
0.046,-0.62,1.05,1.47,-0.93,-1.13,0.41,
0.047,-0.62,1.05,1.47,-0.91,-1.16,0.39,
0.049,-0.62,1.05,1.47,-0.88,-1.19,0.38,
0.052,-0.62,1.05,1.47,-0.85,-1.22,0.37,
0.053,-0.56,0.94,1.82,-0.85,-1.22,0.37,
0.063,-0.56,0.94,1.82,-0.81,-1.24,0.35,
0.064,-0.47,0.84,1.90,-0.81,-1.24,0.35,
0.065,-0.47,0.84,1.90,-0.77,-1.26,0.33,
0.066,-0.47,0.84,1.90,-0.73,-1.27,0.31,
0.066,-0.34,0.78,1.58,-0.73,-1.27,0.31,
0.066,-0.34,0.78,1.58,-0.68,-1.27,0.29,
0.067,-0.34,0.78,1.58,-0.63,-1.26,0.27,
0.067,-0.46,1.35,0.84,-0.63,-1.26,0.27,
0.068,-0.46,1.35,0.84,-0.58,-1.21,0.27,
0.073,-0.46,1.35,0.84,-0.52,-1.16,0.28,
0.073,-0.45,1.54,0.22,-0.52,-1.16,0.28,
0.074,-0.45,1.54,0.22,-0.47,-1.12,0.28,
0.074,-0.45,1.54,0.22,-0.42,-1.08,0.29,
0.078,-0.06,0.95,-0.27,-0.42,-1.08,0.29,
0.079,-0.06,0.95,-0.27,-0.38,-1.05,0.29,
0.08,-0.06,0.95,-0.27,-0.35,-1.02,0.29,
0.081,0.35,0.12,-0.57,-0.35,-1.02,0.29,
