time,ax,ay,az,wx,wy,wz,
0.002,-0.62,0.52,-0.69,-0.42,-0.72,0.20,
0.002,-0.73,0.65,-0.35,-0.42,-0.72,0.20,
0.003,-0.73,0.65,-0.35,-0.46,-0.77,0.21,
0.003,-0.73,0.65,-0.35,-0.49,-0.82,0.23,
0.004,-0.75,0.65,-0.04,-0.49,-0.82,0.23,
0.004,-0.75,0.65,-0.04,-0.52,-0.86,0.24,
0.004,-0.75,0.65,-0.04,-0.54,-0.91,0.25,
0.011,-0.60,0.63,0.12,-0.54,-0.91,0.25,
0.012,-0.60,0.63,0.12,-0.55,-0.95,0.26,
0.012,-0.60,0.63,0.12,-0.57,-0.99,0.26,
0.013,-0.53,0.58,0.13,-0.57,-0.99,0.26,
0.013,-0.53,0.58,0.13,-0.58,-1.02,0.26,
0.014,-0.53,0.58,0.13,-0.59,-1.04,0.26,
0.024,-0.49,0.44,0.09,-0.59,-1.04,0.26,
0.024,-0.49,0.44,0.09,-0.59,-1.07,0.26,
0.025,-0.49,0.44,0.09,-0.60,-1.09,0.25,
0.025,-0.35,0.33,0.01,-0.60,-1.09,0.25,
0.025,-0.35,0.33,0.01,-0.60,-1.11,0.24,
0.026,-0.35,0.33,0.01,-0.61,-1.14,0.23,
0.028,-0.20,0.26,0.04,-0.61,-1.14,0.23,
0.029,-0.20,0.26,0.04,-0.62,-1.18,0.22,
0.029,-0.20,0.26,0.04,-0.63,-1.23,0.21,
0.033,-0.19,0.25,0.12,-0.63,-1.23,0.21,
0.033,-0.19,0.25,0.12,-0.63,-1.27,0.19,
0.035,-0.19,0.25,0.12,-0.65,-1.32,0.18,
0.039,-0.19,0.30,0.12,-0.65,-1.32,0.18,
0.039,-0.19,0.30,0.12,-0.66,-1.37,0.16,
0.039,-0.19,0.30,0.12,-0.67,-1.42,0.15,
0.044,-0.19,0.41,0.06,-0.67,-1.42,0.15,
0.044,-0.19,0.41,0.06,-0.69,-1.47,0.12,
0.044,-0.19,0.41,0.06,-0.72,-1.52,0.11,
0.047,-0.19,0.41,0.06,-0.75,-1.56,0.08,
0.047,-0.19,0.50,-0.23,-0.75,-1.56,0.08,
0.05,-0.19,0.50,-0.23,-0.77,-1.58,0.06,
0.053,-0.22,0.54,-0.47,-0.77,-1.58,0.06,
0.054,-0.22,0.54,-0.47,-0.80,-1.61,0.04,
0.054,-0.22,0.54,-0.47,-0.83,-1.63,0.01,
0.058,-0.38,0.74,-0.38,-0.83,-1.63,0.01,
0.058,-0.38,0.74,-0.38,-0.85,-1.65,-0.02,
0.059,-0.38,0.74,-0.38,-0.87,-1.67,-0.03,
