ax,ay,az
-1.44,1.44,-1.0
-1.87,0.68,-0.77
-1.83,-0.92,-0.54
-1.85,-2.45,-1.19
-1.38,-2.45,0.03
-1.04,-1.4,0.26
-0.76,-0.87,0.45
0.19,-1.31,2.14
0.82,-1.45,2.79
0.59,-0.74,2.04
1.08,-0.73,2.53
1.12,-0.32,2.72
0.39,0.31,2.37
-0.44,0.99,2.22
-0.56,1.84,2.31
-0.08,1.91,2.04
0.22,1.6,2.11
0.28,1.52,2.25
0.43,1.78,2.12
0.5,2.06,1.9
0.46,2.3,1.43
0.48,2.53,0.82
0.5,2.32,0.63
0.36,1.67,0.07
0.17,0.92,-1.32
-0.94,1.6,-2.53
-1.31,2.54,-2.4
-0.76,3.13,-1.82
-0.28,2.77,-1.26
-0.25,1.67,-0.59
-0.23,-0.08,-0.09
0.28,0.53,-0.94
0.36,1.44,-2.76
-0.93,-1.01,-1.05
-1.8,-5.0,0.93
-0.99,-7.2,2.26
-1.62,-6.41,0.14
-1.12,-12.67,-6.5
2.6,-8.66,-3.82
-0.06,2.41,1.54
1.39,4.87,4.68
3.56,3.55,6.49
3.56,1.79,6.31
2.45,-0.45,4.66
-0.5,-1.87,2.84
-1.93,-1.73,-0.51
-2.94,-0.86,-2.73
-3.48,0.16,-3.02
-3.12,0.96,-3.93
-1.07,1.06,-2.93
0.46,0.27,0.16
1.74,-0.89,3.04
2.77,-1.11,3.42
2.55,-0.34,1.38
0.51,0.23,-1.31
-0.66,0.59,-0.72
-0.8,0.64,-1.08
-0.46,0.51,-0.3
-0.04,0.3,0.02
0.04,0.12,0.14
0.1,0.28,-0.95
0.81,0.61,-2.03
0.94,0.65,-2.03
0.33,0.92,-1.71
0.3,1.36,-1.31
-0.07,0.81,-0.96
-0.16,0.76,-0.71
0.51,1.98,-0.55
0.02,2.17,-1.08
-1.13,2.76,-1.52
-1.88,3.19,-1.14
-1.93,3.97,-2.26
-2.73,4.55,0.05
-3.38,3.07,-0.85
-0.29,1.47,0.1
2.69,-2.27,0.45
4.77,-8.56,0.34
4.06,-11.02,-1.36
0.58,-4.98,0.87
-0.86,-6.63,-0.23
-2.41,-11.9,0.44
-3.79,-4.42,0.43
-0.36,0.0,0.55
1.02,1.31,1.17
1.0,0.14,2.11
0.03,-0.54,2.61
-0.08,-0.43,2.87
-0.48,0.53,1.66
-0.43,1.08,0.68
-0.53,1.5,0.44
-0.38,1.73,0.84
-0.5,1.56,1.25
-0.51,1.12,1.77
-0.23,1.19,1.86
0.26,1.61,1.62
0.37,1.95,1.44
-0.01,1.94,1.99
-0.24,2.1,2.26
0.16,2.48,1.91
0.59,2.78,1.12
0.88,2.73,0.48
1.1,2.06,-0.4
1.52,0.79,-1.04
1.64,0.06,-1.52
1.76,-0.27,-3.06
1.5,-0.2,-3.82
0.79,1.38,-3.05
-0.74,2.84,-2.27
-2.38,2.99,-0.44
-3.04,4.59,0.01
-2.56,5.31,2.3
-1.76,3.93,3.05
0.23,1.74,2.06
1.61,-1.42,-0.71
-1.88,-8.97,-2.13
-3.39,-11.53,1.53
2.14,-5.65,-0.4
1.85,-4.89,-4.72
-4.48,-19.74,-0.14
2.55,-10.1,-4.38
0.54,5.57,2.66
0.58,6.43,8.09
1.02,5.16,8.3
0.84,1.48,3.97
1.86,-2.85,4.43
-0.82,-2.24,2.8
-2.56,-0.02,-1.94
-0.0,0.58,-5.13
1.21,-0.49,-4.7
-0.44,-1.05,-3.19
-0.84,-0.62,-1.04
0.51,0.52,2.12
2.87,0.98,3.3
3.29,0.98,1.81
1.71,0.19,-0.28
-0.7,-1.2,-1.71
-2.18,-0.52,-0.49
-2.34,0.83,0.53
-2.2,1.2,0.45
-1.15,0.55,-0.91
0.15,0.33,-1.46
0.78,-0.36,-2.3
0.77,-0.77,-2.81
0.96,-0.44,-2.23
0.93,0.16,-2.09
1.31,2.07,-2.3
1.88,2.51,-2.03
-0.1,2.03,-2.26
-2.96,2.11,-1.86
-3.32,2.79,-1.7
-2.75,3.81,0.06
-0.94,4.58,0.39
0.8,3.93,1.9
1.57,1.07,-0.61
1.29,-0.44,-0.6
2.0,1.18,1.09
1.89,0.56,-0.42
