ax,ay,az
2.04,-0.86,-0.8
1.24,-0.81,-0.63
0.58,-0.37,-0.49
0.3,-0.32,-0.88
0.22,0.05,-1.09
0.06,0.14,-1.68
-0.15,-0.03,-1.91
-0.38,-0.68,-1.98
-0.31,-2.17,-2.2
0.64,-3.33,-2.32
0.78,-3.25,-1.76
-0.18,-1.39,-0.78
-0.55,-0.3,-0.52
0.47,-0.36,-0.8
0.21,-0.32,0.59
-0.72,-0.56,1.35
-0.58,-0.34,0.04
0.56,0.05,-0.2
0.58,-0.07,-0.04
0.41,-0.12,0.19
-0.39,-0.07,0.27
-0.14,-0.42,0.81
0.23,0.02,0.98
0.95,0.32,0.65
0.63,0.17,0.35
0.71,0.19,0.55
0.79,0.27,1.06
0.6,0.78,0.96
0.96,1.18,1.07
0.95,1.44,0.86
0.73,1.29,0.63
0.75,1.31,0.48
0.33,1.23,1.05
0.61,1.71,0.6
0.81,1.88,0.61
0.56,1.73,0.21
0.03,1.43,0.16
0.09,0.88,0.08
0.57,0.61,-0.14
0.54,1.22,-0.13
0.21,1.94,0.39
-0.24,2.22,0.61
-0.94,2.09,0.46
-0.94,1.33,0.02
-3.69,-1.64,-3.52
-6.68,-5.97,-2.96
-4.55,-3.35,1.56
1.97,5.42,-0.71
3.75,6.81,-1.16
0.3,0.52,2.05
0.1,-3.24,-0.03
-0.49,-2.37,-1.09
-2.65,-0.5,-2.5
-1.48,0.12,-1.99
-0.82,0.27,0.35
0.5,-1.56,0.11
0.56,-1.8,-0.46
-0.98,-0.99,-0.85
-1.02,-2.29,-1.66
-0.45,-2.48,-0.05
1.03,-3.15,0.55
1.77,-2.64,1.1
1.45,-2.02,1.01
1.5,-1.8,0.99
1.47,-1.31,1.75
1.63,-1.36,1.19
1.94,-1.48,1.59
1.74,-1.52,1.86
1.74,-1.39,2.01
1.44,-0.38,1.74
0.58,1.41,1.41
-0.37,2.81,1.79
-0.88,3.11,0.32
-1.87,2.55,0.2
-1.67,0.63,0.39
-0.48,-0.06,0.08
0.48,0.05,-0.53
1.27,-0.13,-1.44
1.3,0.31,-1.32
1.25,0.37,-1.31
0.89,0.07,-0.88
0.9,-0.62,-0.35
1.38,-0.05,-0.28
1.8,0.01,0.34
1.9,-0.23,1.52
0.63,0.35,2.15
-0.2,1.25,0.92
-0.25,0.86,0.14
-0.57,-0.02,-0.46
-0.94,-0.19,-1.75
-0.88,0.27,-2.15
-1.2,0.92,0.03
-1.29,0.57,0.57
-0.46,-0.85,-0.89
0.19,-1.24,-2.07
0.26,-0.71,-2.17
0.7,-0.01,-2.16
1.1,0.46,-0.96
1.35,0.42,0.03
1.87,-0.87,0.12
1.81,-1.82,-0.2
2.11,-2.07,-0.13
0.75,-2.27,0.78
-1.39,-2.8,0.59
-3.16,-4.09,-0.33
-2.78,-5.08,-0.61
-0.67,-5.59,-0.43
0.4,-3.9,-0.5
0.49,-2.47,-1.0
0.09,-0.99,-1.81
-0.24,-0.88,-1.89
-0.78,-2.23,-2.33
-0.77,-3.68,-2.79
0.37,-3.5,-3.84
0.23,-0.56,-2.19
-0.17,2.29,0.06
-0.02,2.87,1.41
-0.07,1.95,3.47
-1.21,2.08,5.67
-0.14,0.76,5.53
1.0,0.63,2.2
1.45,0.71,0.64
1.49,0.42,0.19
2.18,-0.51,1.23
1.83,-0.9,1.25
0.7,-1.34,1.55
0.53,-0.52,1.15
0.56,0.4,1.36
-0.14,0.97,1.94
-0.2,1.03,2.48
0.69,0.95,2.35
1.81,0.68,1.94
1.77,0.43,2.36
1.11,0.64,2.48
0.81,0.73,2.57
0.91,0.7,1.67
0.32,0.86,2.2
0.87,1.21,1.8
0.6,1.18,1.57
0.7,1.18,1.62
1.08,1.5,1.26
0.51,1.38,1.32
1.52,1.36,1.36
1.99,1.18,0.36
1.17,1.47,0.54
0.5,1.99,0.57
-4.7,2.97,-10.46
-7.9,-11.12,-5.49
-4.04,-9.21,1.91
4.19,3.24,0.98
-2.35,6.68,0.15
-0.48,-0.89,-0.32
-3.05,-5.83,1.54
0.36,-6.73,-0.38
2.34,-4.25,-0.59
2.38,-1.9,1.82
1.02,-0.59,2.04
0.33,-0.32,0.51
0.57,-0.23,1.09
0.99,-0.03,1.75
1.27,-0.22,0.34
1.76,-0.74,0.68
1.88,0.14,1.38
1.13,2.24,0.54
0.66,3.08,0.04
1.12,2.1,-1.11
0.44,1.38,-0.16
-0.82,1.01,0.57
-0.81,0.84,-0.51
-0.3,0.58,-1.31
-0.77,0.45,-0.5
-1.26,0.07,-0.45
-0.74,-0.12,-0.51
0.08,-0.14,-0.37
0.56,-0.18,-0.21
0.78,-0.29,-0.25
1.59,-0.27,-0.23
1.52,-0.23,-0.12
0.98,-0.09,0.07
-0.1,0.24,-0.42
-0.62,0.47,-0.54
-0.78,0.6,-0.38
-0.65,0.5,-0.45
-0.82,0.51,-0.48
-0.41,0.63,-0.62
0.64,0.51,-0.97
0.53,0.16,-1.57
-0.73,-0.12,-2.11
-0.77,-0.43,-2.4
-0.16,-0.27,-1.91
0.73,0.3,-0.6
2.58,-0.3,-0.46
2.85,-0.91,-0.37
1.4,-1.73,0.18
1.66,-1.44,1.54
1.45,-2.46,1.75
0.01,-3.78,0.81
-3.37,-4.93,-0.18
-5.88,-5.25,-0.06
-3.78,-4.55,-0.53
-1.74,-3.23,-1.25
0.08,-2.04,-2.08
1.32,-1.32,-1.72
1.97,-0.88,-1.48
2.07,-0.94,-1.51
2.11,-0.9,-1.52
2.29,-0.31,-2.14
1.43,1.08,-2.25
-0.97,2.19,-1.07
-2.93,1.8,1.23
-3.24,1.79,2.88
-2.91,2.28,3.59
-1.56,2.16,3.05
1.39,1.19,1.41
3.26,-0.19,1.09
3.16,-0.96,0.62
1.95,-1.84,0.16
0.08,-2.09,0.52
-0.67,-1.68,0.36
-0.25,-1.13,0.63
-0.06,-0.49,0.76
-0.01,-0.3,0.82
-0.19,0.14,1.48
0.16,0.44,1.87
0.6,0.51,2.01
1.36,0.89,2.32
1.65,1.29,2.64
1.46,1.37,2.8
1.34,0.93,2.45
0.96,0.68,2.24
1.22,0.54,1.5
0.97,1.04,1.11
1.15,1.21,0.53
2.15,1.01,-1.29
3.33,1.36,1.07
-0.44,2.79,4.1
-3.2,2.6,3.22
-2.07,1.39,1.19
-0.35,1.14,1.0
0.64,1.13,0.17
1.42,1.41,0.36
-1.68,3.16,-2.83
-6.46,-8.01,-13.06
-11.06,-7.51,2.15
5.37,-1.51,-2.1
0.29,4.06,0.98
-1.98,3.51,-0.11
-1.7,-2.87,0.3
-1.6,-4.96,0.54
-0.22,-4.91,-1.31
1.13,-3.35,-0.74
1.08,-2.81,1.51
1.16,-2.34,2.1
1.57,-1.95,1.31
2.05,-0.98,1.56
2.18,0.5,1.28
2.03,0.79,1.2
1.37,-0.08,1.13
0.82,-0.3,1.05
0.06,0.72,0.81
-0.89,2.65,0.68
-1.21,3.21,-0.27
-0.75,2.5,-0.76
-0.22,1.3,-0.75
1.22,-0.01,-0.25
2.32,-0.7,0.28
2.1,-0.62,-0.15
0.61,0.56,-0.7
-0.01,0.62,-0.88
0.16,0.24,-1.43
0.17,-0.39,-0.94
0.29,-0.38,-0.19
0.14,0.14,0.21
0.46,0.47,0.24
1.21,0.25,-0.16
1.65,-0.05,-0.75
1.22,0.0,-1.02
-0.42,0.01,-0.49
-1.79,0.37,-0.39
-1.4,0.24,-0.75
-0.35,-0.04,-1.3
0.27,0.2,-1.14
0.17,-0.12,-0.4
-0.25,-0.4,-0.05
0.4,-0.48,-0.74
1.11,-0.52,-1.26
1.14,-0.21,-1.32
0.42,-0.65,-0.29
0.21,-1.85,0.74
0.37,-2.64,1.66
-0.04,-3.75,1.2
-2.09,-4.11,-0.02
-2.13,-3.79,-0.49
-0.77,-3.21,-1.82
0.33,-3.25,-1.5
0.62,-2.65,-0.93
-0.3,-1.77,-1.58
-0.59,-2.33,-2.48
-0.72,-2.53,-2.54
1.24,-2.72,-3.2
3.36,-1.75,-4.4
3.27,0.48,-4.12
0.55,2.77,-0.73
-1.83,2.94,3.78
-2.05,1.98,5.57
-1.02,0.78,5.0
-0.31,-0.39,3.97
-0.49,-0.37,2.09
0.32,-0.46,1.16
0.65,-0.05,-0.11
1.07,-0.49,-0.22
0.53,-0.88,1.2
0.2,-0.98,2.67
1.02,-0.93,1.99
0.27,-0.15,1.73
-0.52,0.5,2.13
-0.27,0.93,2.1
0.21,0.95,2.0
0.77,0.42,2.15
1.48,0.13,2.33
2.07,0.65,2.4
1.8,1.07,2.96
1.5,1.74,2.07
0.73,1.86,1.85
0.22,1.66,1.68
0.43,1.43,1.62
0.88,1.51,2.26
0.93,1.59,2.14
0.96,1.55,1.44
0.76,1.1,1.1
0.61,0.81,0.71
0.57,0.81,0.61
0.02,1.15,0.77
-3.2,2.61,-7.87
-5.49,-8.85,-8.75
-9.06,-9.1,1.73
3.61,1.99,-0.92
-0.1,6.1,1.2
0.61,4.11,0.41
-0.15,-2.31,-0.48
-2.0,-5.75,0.8
-0.25,-4.62,-0.73
-0.03,-2.41,-2.02
1.73,-1.99,-0.25
1.97,-2.23,1.76
0.8,-2.19,1.92
0.33,-1.11,1.37
0.86,0.69,1.29
0.99,1.32,1.95
0.97,0.75,1.72
1.19,-0.0,1.25
1.21,0.22,1.18
0.63,0.98,0.87
0.02,1.23,-0.12
-1.14,1.93,-0.35
-1.4,2.15,-0.95
-0.88,1.78,-0.83
0.14,0.96,0.26
0.59,-0.33,0.1
0.69,-1.14,0.41
0.33,-0.56,0.11
-0.25,0.46,-0.53
-0.47,0.42,-1.07
0.06,-0.1,-0.74
0.65,-0.31,-0.71
1.05,0.0,-0.71
1.32,0.15,-0.33
1.15,0.15,-0.07
0.57,0.46,-0.64
0.35,-0.01,-0.8
0.18,-0.07,-0.86
0.25,0.2,-0.8
0.32,0.07,-1.03
0.17,0.12,-0.34
-0.04,0.44,0.21
-0.63,0.87,0.05
-0.92,0.19,-0.34
-0.55,-0.75,-0.93
0.25,-0.82,-1.04
1.22,-0.81,-0.73
1.49,-1.46,-0.57
1.92,-1.86,0.23
1.12,-2.74,0.61
-0.44,-3.8,0.89
-2.1,-3.82,0.03
-2.63,-3.56,-0.77
-1.34,-3.73,-1.35
-0.16,-2.64,-1.62
0.86,-2.38,-1.09
0.58,-1.79,-0.88
-0.16,-1.56,-1.75
-0.44,-1.9,-2.66
0.7,-3.27,-4.33
1.96,-2.84,-5.66
2.85,-0.85,-5.01
1.63,0.64,-2.56
-0.81,1.71,3.42
-0.53,0.73,6.46
-0.25,-0.05,7.2
0.13,-0.72,5.14
0.05,0.19,3.25
0.1,1.18,2.38
0.57,2.03,0.64
0.47,1.27,-0.11
0.49,-0.37,1.72
0.79,-1.27,2.07
1.22,-1.15,2.39
0.04,-0.07,2.28
-0.66,0.69,1.44
-0.44,0.86,1.9
0.04,0.91,1.31
0.92,0.8,2.78
2.0,0.57,3.2
2.22,0.75,2.66
1.63,1.17,1.54
0.41,1.83,1.69
0.19,2.21,1.29
-0.14,2.38,1.59
0.15,2.08,1.65
0.77,1.72,1.82
0.98,1.55,1.54
0.82,1.06,1.09
0.28,1.0,0.74
0.35,1.05,0.57
-0.79,1.79,-1.57
