ax,ay,az
0.06,0.04,-0.01
0.06,0.02,0.01
0.04,0.03,0.01
0.03,-0.05,-0.03
0.0,0.0,-0.04
0.0,-0.02,-0.02
-0.03,-0.05,-0.01
-0.05,0.01,0.01
-0.04,0.03,0.01
-0.03,-0.02,-0.01
-0.03,-0.0,-0.01
-0.01,-0.01,-0.04
0.04,0.02,0.0
0.03,0.01,0.08
0.03,-0.01,0.04
0.04,-0.01,-0.04
0.04,0.03,-0.05
0.03,0.02,-0.05
0.03,-0.01,-0.01
-0.03,0.01,0.03
-0.02,0.02,0.0
-0.02,0.0,-0.02
-0.02,-0.01,0.01
-0.04,0.01,0.01
-0.03,0.01,0.01
-0.04,-0.01,-0.0
-0.0,0.01,-0.0
0.01,0.02,0.02
0.05,-0.01,0.0
0.05,-0.01,-0.03
0.05,0.02,0.0
0.03,0.01,0.02
-0.0,0.01,0.0
-0.01,-0.01,-0.02
-0.02,0.01,-0.03
-0.01,-0.01,-0.0
-0.01,-0.01,0.01
-0.01,-0.02,0.0
-0.01,0.0,-0.02
-0.01,0.0,-0.01
0.0,0.0,-0.01
0.01,0.0,0.03
0.02,0.02,0.03
0.01,0.04,0.02
0.01,0.0,-0.0
0.0,0.0,-0.03
-0.02,0.01,-0.01
0.01,0.01,-0.01
-0.02,0.02,0.03
-0.02,-0.01,0.0
-0.0,-0.02,-0.04
-0.0,0.02,-0.02
0.01,0.04,0.03
0.0,0.01,0.03
0.01,-0.02,-0.02
0.0,0.01,-0.01
0.01,0.01,-0.02
0.01,0.01,0.02
0.0,0.03,0.04
-0.0,-0.0,-0.01
-0.03,-0.01,-0.03
0.0,0.0,-0.01
0.0,0.01,0.02
-0.03,0.02,0.04
-0.01,0.0,0.01
-0.01,-0.01,-0.01
-0.0,0.01,-0.04
0.02,0.0,-0.03
0.03,-0.01,0.01
0.03,-0.01,-0.0
-0.0,0.04,0.01
-0.0,-0.01,-0.02
0.02,-0.01,-0.03
0.0,-0.01,0.0
0.01,-0.01,-0.0
0.02,-0.01,-0.01
0.01,-0.02,-0.01
-0.02,0.02,0.03
-0.02,-0.0,0.01
-0.02,0.01,0.03
-0.02,-0.0,-0.02
-0.01,-0.0,-0.02
-0.01,-0.01,-0.0
0.0,0.0,0.01
0.01,0.02,0.01
0.0,0.01,-0.02
-0.0,-0.01,-0.01
-0.0,-0.02,-0.03
-0.01,-0.0,-0.01
0.01,0.02,0.02
0.01,0.01,0.02
-0.0,-0.01,-0.04
-0.01,0.02,-0.0
-0.01,0.0,0.01
0.01,0.02,0.02
0.01,0.03,0.01
-0.01,0.01,0.01
-0.0,0.01,0.01
-0.01,-0.05,-0.03
0.0,-0.01,-0.02
0.0,0.07,0.03
0.05,0.21,0.04
0.09,0.0,-0.03
0.07,-0.06,-0.08
0.1,-0.09,-0.09
0.04,-0.08,-0.04
-0.02,-0.04,0.04
-0.05,0.02,0.04
-0.1,0.03,0.02
-0.12,-0.01,-0.0
-0.09,-0.01,-0.02
-0.03,-0.01,-0.0
-0.01,0.0,0.05
-0.01,0.06,-0.04
0.07,0.0,-0.05
0.05,-0.01,-0.05
0.08,-0.01,-0.03
0.06,-0.02,-0.02
0.03,-0.03,0.01
0.01,0.01,0.03
-0.02,-0.03,-0.03
-0.02,-0.04,-0.02
-0.05,0.02,0.02
-0.06,0.02,0.03
-0.04,0.04,0.02
-0.05,0.0,0.0
-0.03,0.01,0.03
0.01,0.06,0.07
0.04,0.05,0.02
0.01,0.03,0.02
0.04,0.02,0.05
0.03,0.02,-0.01
0.04,0.03,0.0
0.02,-0.03,-0.0
0.03,-0.04,-0.01
0.04,-0.04,0.0
-0.02,0.05,-0.01
-0.0,0.06,0.01
-0.05,0.03,0.03
-0.01,0.0,0.02
-0.01,0.02,0.05
-0.01,-0.0,0.01
0.0,0.04,0.03
-0.01,0.02,0.07
0.03,0.08,0.01
-0.03,0.01,0.07
0.06,0.04,0.1
0.08,0.02,0.14
0.05,0.04,-0.09
0.06,-0.06,-0.44
-0.06,0.15,-2.23
-0.23,0.64,-2.88
-0.72,0.76,1.65
0.97,-0.02,1.22
1.35,-0.26,0.96
0.54,-0.12,1.08
-0.44,0.25,-0.41
-0.28,0.15,0.66
-0.67,0.63,-0.32
-0.31,0.96,-0.58
-0.53,1.28,-1.18
0.07,1.41,-0.54
0.08,1.07,-0.16
0.09,0.71,-0.41
0.49,0.56,-0.65
0.4,0.28,-0.47
0.3,0.13,-0.58
0.44,0.04,-0.56
0.16,0.16,-0.86
0.11,0.29,-0.87
0.15,0.63,-0.48
0.62,0.6,-0.64
-0.19,0.82,0.05
0.54,0.36,-0.09
0.88,-0.36,0.0
0.13,0.22,0.14
-0.35,0.46,0.31
-0.4,0.48,0.18
-0.05,0.24,0.65
0.28,0.11,0.99
0.35,0.1,1.01
0.25,-0.09,1.04
