ax,ay,az
0.54,-0.52,-1.54
1.37,-1.35,-1.61
0.21,-1.96,-2.35
-1.43,-1.16,-3.36
-0.55,-1.22,-2.94
2.1,-4.4,-2.56
2.44,-4.51,-2.55
1.16,-1.64,-2.19
0.69,-1.29,-2.69
-0.77,-0.09,-4.14
-2.42,-0.17,-2.82
-2.66,-1.13,-0.11
-0.76,-2.41,1.35
1.45,-3.88,4.1
1.34,-3.48,6.17
0.45,-2.07,6.19
0.07,-1.91,6.84
-0.51,-1.72,4.27
-0.34,-0.94,2.66
0.7,0.04,2.41
0.98,0.92,2.17
0.79,1.34,2.42
0.38,1.47,2.9
0.16,1.7,3.48
0.35,2.04,4.16
0.9,2.33,4.39
0.99,2.8,4.01
0.5,3.43,3.21
0.65,3.8,2.35
0.18,3.6,1.61
-0.18,2.97,1.06
0.02,1.53,0.43
0.15,0.13,-1.47
-0.75,-1.05,-3.16
-1.87,-3.34,-5.86
-2.59,-6.32,-9.9
-2.44,-7.2,-6.82
-1.84,-3.58,-3.39
0.38,4.18,-0.79
0.52,6.27,-0.06
-0.86,3.63,0.74
-2.46,-6.28,-0.2
-2.01,-11.06,-2.29
-1.22,-4.3,3.37
-1.03,3.66,5.13
-0.73,7.22,5.82
-0.08,5.8,5.92
-1.2,-0.8,4.19
3.59,-4.71,4.83
4.4,-3.08,4.57
2.84,0.34,3.08
3.47,0.43,-0.09
4.34,-0.3,0.78
2.23,-0.42,1.92
-0.47,0.13,0.41
-1.53,0.35,-0.61
-1.11,0.86,-0.67
-0.25,1.72,-0.89
0.35,0.86,-0.34
-0.06,0.01,-0.65
-0.3,-0.36,-1.24
0.47,-0.26,-0.03
1.53,-0.01,0.26
1.48,0.2,0.1
0.5,0.94,-0.13
-0.44,1.49,-0.02
-0.24,1.01,0.05
0.43,-0.0,-0.61
0.64,-0.38,-1.61
0.86,-0.61,-2.61
0.51,-1.01,-2.89
-0.01,-0.75,-2.66
0.19,-0.48,-2.12
1.14,-0.54,-1.73
1.46,-1.6,-1.77
0.43,-2.25,-2.34
-0.92,-2.54,-2.87
0.05,-4.66,-2.87
2.09,-4.92,-3.1
2.04,-2.75,-3.08
1.21,-1.19,-2.63
0.95,-0.91,-3.03
-0.88,0.1,-3.27
-3.43,1.53,-3.17
-4.05,0.51,-1.78
-2.25,-2.09,0.63
-0.4,-4.34,4.09
0.61,-4.3,6.38
1.92,-3.4,7.73
2.8,-2.81,6.98
1.36,-2.05,2.74
0.87,-0.67,1.59
0.84,-0.47,1.78
0.8,-0.01,2.81
0.14,0.45,3.41
-0.67,1.14,3.69
-0.71,1.91,4.38
-0.36,2.43,4.61
0.03,2.61,4.74
0.3,2.69,4.66
-0.12,3.08,3.81
0.28,3.42,3.04
0.53,3.35,2.41
0.34,3.21,1.89
0.47,2.57,1.22
0.61,1.28,-0.01
0.38,-0.33,-2.31
-0.68,-2.4,-5.26
-1.83,-6.25,-10.14
-1.21,-8.84,-10.5
-2.12,-6.05,-4.53
-1.02,1.14,-1.57
0.0,6.53,0.18
-1.54,4.65,1.9
-2.88,-4.78,1.75
-3.03,-8.38,-2.16
-1.66,-7.03,-0.97
-0.43,-0.62,0.28
0.83,6.39,5.31
0.92,8.76,9.04
-0.94,5.23,6.21
-1.68,-2.16,3.7
3.18,-7.35,3.51
6.52,-3.5,3.07
4.5,-0.12,0.75
2.82,1.5,1.29
1.76,0.82,1.23
0.06,0.08,0.29
-1.35,-0.08,0.36
-1.48,0.58,-0.01
-0.71,1.33,0.56
0.31,1.34,0.98
0.34,0.96,-0.03
0.22,0.13,-1.35
0.21,-0.06,-0.79
0.66,0.13,0.6
1.04,0.62,0.7
0.96,0.45,-0.6
0.0,0.29,-1.66
-0.6,-0.3,-2.43
-0.5,-0.73,-2.85
-0.16,-0.66,-2.4
0.29,-0.46,-1.7
0.76,-0.49,-1.05
0.65,-0.55,-1.21
1.09,-0.01,-0.99
2.15,-0.2,-0.67
1.85,-1.05,-0.82
0.04,-1.39,-1.43
-1.45,-1.41,-2.6
-1.44,-1.56,-3.07
1.08,-4.25,-2.49
3.5,-4.56,-2.78
2.71,-2.14,-2.81
0.79,-0.37,-2.83
0.05,-0.47,-3.44
-1.49,0.67,-4.06
-2.95,1.02,-2.63
-2.86,-0.48,-0.66
-0.55,-2.81,1.47
1.42,-4.78,4.39
1.39,-3.14,5.6
1.13,-2.13,6.27
1.19,-2.12,6.2
0.43,-2.26,3.07
0.6,-1.93,1.58
1.14,-1.1,1.82
0.53,0.0,2.01
-0.58,1.05,2.59
-0.88,1.71,3.52
-0.4,2.07,3.87
0.57,1.98,4.16
0.72,2.36,3.94
0.36,2.94,3.32
-0.24,3.18,2.68
-0.32,3.09,2.28
-0.37,2.85,1.96
-0.43,2.59,1.57
-0.24,1.64,1.16
-0.14,0.45,0.61
-0.04,-0.46,-1.83
-0.21,-1.41,-4.49
-0.97,-3.04,-6.54
-0.71,-4.12,-6.64
-0.61,-3.09,-4.89
-0.5,-0.81,-2.64
-1.67,-1.28,-0.72
-3.33,-6.34,0.01
-2.17,-6.02,-1.48
-1.53,-1.74,0.21
0.46,2.85,1.16
1.54,5.59,3.51
2.6,6.08,7.59
1.54,2.95,5.81
1.43,-1.56,2.02
1.69,-1.75,1.59
0.91,-2.68,2.9
-0.2,-2.6,3.09
0.63,0.61,1.17
1.39,2.12,0.08
0.44,1.19,-1.02
-0.28,0.17,1.27
0.13,-0.28,3.13
1.59,0.66,3.48
1.75,0.77,1.64
1.16,-0.24,-1.65
0.23,-0.79,-2.51
-0.47,-0.52,-1.9
-0.58,0.53,-0.94
-0.01,1.11,-0.33
0.55,0.82,-0.15
0.95,0.29,-0.12
1.11,-0.25,-0.37
0.54,-0.37,-0.82
-0.19,0.3,-1.71
-0.85,1.07,-1.98
-1.39,0.34,-1.0
-0.77,-0.61,-1.73
1.09,-0.54,-1.05
1.78,0.02,-0.64
2.02,0.03,-0.88
1.62,-0.77,-1.79
0.59,-0.93,-1.96
0.44,-1.89,-1.51
1.03,-4.64,-1.27
1.74,-4.37,-2.17
1.7,-2.69,-2.82
0.33,-2.1,-3.11
-0.49,-1.37,-4.44
-1.54,-0.26,-4.59
-2.87,1.13,-3.98
-2.98,1.33,-2.59
-1.89,-0.21,-0.4
-0.19,-2.47,1.78
1.2,-3.64,4.86
2.33,-2.8,6.33
2.46,-2.43,5.95
1.73,-3.79,4.15
0.68,-2.69,0.74
0.81,-2.24,0.92
0.21,-0.67,1.62
-0.26,0.6,2.54
-0.85,1.56,3.15
-0.83,1.92,3.74
-0.82,2.22,3.97
-0.49,2.61,3.89
-0.48,3.01,3.61
-0.37,2.99,3.47
-0.14,2.8,3.47
0.95,2.55,3.03
1.02,2.01,2.13
0.28,2.1,1.53
-0.14,2.21,0.73
-0.33,1.62,-0.3
-0.44,0.08,-2.07
-0.91,-2.15,-4.62
-1.46,-4.05,-7.44
-1.23,-4.81,-9.3
-1.06,-4.35,-5.72
-0.64,-0.84,-3.36
-0.48,2.67,-1.93
-3.03,-1.77,1.48
-2.65,-8.07,-0.11
-1.55,-2.86,-0.52
-0.13,1.05,2.64
1.26,3.84,5.84
3.41,5.01,6.7
2.15,2.1,5.75
0.46,-2.14,2.0
1.1,-2.22,2.32
-0.6,-0.28,3.32
-0.9,0.51,2.81
1.6,0.45,0.5
3.75,-0.48,0.1
2.86,-0.9,-0.05
1.03,-0.81,0.94
0.03,-0.1,1.11
-0.03,0.91,0.41
0.25,1.16,0.16
0.38,0.65,0.07
0.02,0.17,0.03
-0.38,0.22,0.06
-0.02,0.59,0.56
0.84,0.6,0.52
1.26,0.37,-0.02
0.51,0.28,-0.47
-0.15,0.44,-0.72
-0.18,0.42,-0.71
0.04,0.46,-1.01
0.12,0.2,-1.31
0.57,-0.58,-1.69
1.03,-1.4,-1.96
1.02,-1.66,-2.06
0.83,-0.92,-2.43
1.42,-0.13,-2.27
2.33,-0.52,-1.64
1.39,-1.64,-1.07
-0.85,-1.56,-1.44
-1.46,-0.6,-2.32
0.08,-2.75,-2.06
1.54,-3.49,-2.14
1.66,-2.25,-1.88
0.88,-1.33,-2.0
0.77,-1.6,-3.09
-0.54,-0.85,-4.32
-2.91,0.5,-4.79
-4.14,0.51,-2.99
-3.34,-1.15,-0.74
-0.67,-3.01,2.01
1.44,-3.67,4.57
1.72,-2.32,5.28
2.21,-2.82,6.88
1.72,-2.67,5.44
